1_keyword,1_line1,1_line2,1_line3,1_line4,1_line5,1_score,1_type,2_keyword,2_line1,2_line2,2_line3,2_line4,2_line5,2_score,2_type,3_letter_word
sports,There was a smart boxer named Claudio,Who played a big role on our show.,"He was on the program,","He was on a programme,",And he came down and had his photo.,-2.828945549265030,LimGen,sports,There was a writer named Renee,Who did a great job on my birthday.,"When I got to see her,","I was shocked by her fur,",But I knew she was doing it day.,-2.845301386081810,MTBS_NOSTORY,3
doctor,There was a dentist named Dane,Who did a great job on our brain.,"He was a physician,","He was on a mission,",And he came down and saw our pain.,-2.605691418548430,LimGen,doctor,There was a surgeon named Ned,Who did a great job on our head.,"He was like a mentor,","And he was to the core,",He wanted us down in the bed.,-2.885021072241570,MTBS_NOSTORY,3
home,There once was a man named Scot,Who had all his money in a lot.,"He got back from the store,","And he went to the door,",So he had to get down on the spot.,-2.722595011486730,LimGen,home,There was a neat boy named Brock,Who was a good friend on our block.,"When I got to know her,","She was married to sir,",But she does not live in our walk.,-3.032583175227050,MTBS_NOSTORY,3
working,There was a technician named Wes,Who did a great job on our process.,"When we started to talk,","It was easy to walk,",And that is the beauty of this press.,-2.8559437591222000,LimGen,working,There was a teacher named Bok,Who was a black woman on my block.,"She was like a mentor,","And she was to the core,",And she was still like mother of rock.,-3.1272413097322000,MTBS_NOSTORY,4
river,There was a brave farmer named Brock,Who had a small farm on our block.,"He was like a mentor,","And he was to the core,",He is a good guy out in the walk.,-3.1282593228600200,MTBS_NOSTORY,river,There was a farmer named Kay,Who crossed a dead body on her way.,"When she returned to town,","She was met by a clown,",And that is the story of this play.,-2.8066207552328700,LimGen,3
tears,There was a vain man named Lyle,Who had all his money in a pile.,"When he came to see her,","He was afraid to stir,",Because she was holding his trial.,-2.851227178176240,MTBS_NOSTORY,tears,There was a nervous boy named Chase,Who felt a strange feeling on his face.,"When he started to cry,","He was chased by a guy,",And he fell down and covered his place.,-2.7289142571389700,LimGen,2
memory,There was a general named Graham,Who did a great job on our program.,"He was like a mentor,","And he was to the core,",He was willing to learn and to jam.,-2.810475221078380,MTBS_NOSTORY,memory,There was a wise grandpa named Chase,Who lost all his money in a case.,"He came back from the grave,","He was able to save,",And now he has a family place.,-2.7079776886309800,LimGen,1
useful,There was a smart cleaner named Dot,Who found a dead body on her lot.,"When she returned to work,","She was told by a clerk,",She was not the manager she thought.,-2.7416151146734900,LimGen,useful,There was a author named Amal,Who wrote a short story on my wall.,"When I got to know her,","She was married to sir,",So I had to get down on the ball.,-2.867129430626380,MTBS_NOSTORY,3
planet,There was a warrior named Brande,Who lived a long time on our land.,"She came back from the war,","And she went to the door,",And stood on the threshold beforehand.,-2.8514889113364700,LimGen,planet,There was a lucky man named Lyle,Who had all his money in a pile.,"He was back from the war,","And he had to the store,",So he never went on the trial.,-3.015946543775500,MTBS_NOSTORY,3
art,There was a designer named Ward,Who did a great job on our board.,"He was like a mentor,","And he was to the core,",He was willing to learn and to ward.,-2.972881544905250,MTBS_NOSTORY,art,There was a neat teacher named Kay,Who made a big impact on my way.,"She was a musician,","She was on a mission,",She was ready to go and to play.,-2.6919887249668400,LimGen,2
hope,There was a lucky girl named Renee,Who got a flat tire on her way.,"She decided to stay,","It was the perfect day,",It was easy to walk and to play.,-2.8832329362630800,LimGen,hope,There was a brave boy named Salvador,Whose father was a soldier in war.,"When he returned to school,","He was shocked by his cool,",He was not the student he before.,-2.906181639432910,MTBS_NOSTORY,2
body,There was a nervous man named Chase,Who put a big smile on our face.,"We got back from the break,","And we went to the lake,",And we sat down and took our place.,-2.6431849461161700,LimGen,body,There once was a girl named Kai,Who had a big crush on our guy.,"When we went to see her,","She was shocked by her fur,",So she got up and put on the tie.,-2.8423514218781800,MTBS_NOSTORY,4
alien,There was a warrior named Brande,Who captured an area of land.,"When she began to fight,","She was struck by a light,",And she fell down and wounded her hand.,-2.7581281810998900,LimGen,alien,There was a silly man named Cole,Who had all his money in a hole.,"He was back from the war,","And he was to the door,",He was ready to go and to roll.,-2.997270980567640,MTBS_NOSTORY,3
funeral,There was a brave nurse named Renee,Who told a young girl on her birthday.,"When she returned to town,","She was met by a clown,",And that is the story of this play.,-2.8793375845998500,LimGen,funeral,There was a grandma named Bok,Who had a big house on our block.,"It was like a playground,","It was one large compound,",It has a nice view out in the walk.,-3.056925781071190,MTBS_NOSTORY,2
